State,Year,Dem,Rep,Other ,2PDem,2PRep,PV Dem,PV Rep
Alabama,1964,0,69.45,test,0,1,,
Alaska,1964,65.91,34.09,,0.6591,0.3409,,
Arizona,1964,49.45,50.45,,0.494994995,0.505005005,,
Arkansas,1964,56.06,43.41,,0.563587011,0.436412989,,
California,1964,59.11,40.79,,0.591691692,0.408308308,,
Colorado,1964,61.27,38.19,,0.616026543,0.383973457,,
Connecticut,1964,67.81,32.09,,0.678778779,0.321221221,,
Delaware,1964,60.95,38.78,,0.611150105,0.388849895,,
Washington DC,1964,85.5,14.5,,0.855,0.145,,
Florida,1964,51.15,48.85,,0.5115,0.4885,,
Georgia,1964,45.87,54.12,,0.458745875,0.541254125,,
Hawaii,1964,78.76,21.24,,0.7876,0.2124,,
Idaho,1964,50.92,49.08,,0.5092,0.4908,,
Illinois,1964,59.47,40.53,,0.5947,0.4053,,
Indiana,1964,55.98,43.56,,0.56238698,0.43761302,,
Iowa,1964,61.88,37.92,,0.62004008,0.37995992,,
Kansas,1964,54.09,45.06,,0.545537065,0.454462935,,
Kentucky,1964,64.01,35.65,,0.642283765,0.357716235,,
Louisiana,1964,43.19,56.81,,0.4319,0.5681,,
Maine,1964,68.84,31.16,,0.6884,0.3116,,
Maryland,1964,65.47,34.53,,0.6547,0.3453,,
Massachusetts,1964,76.19,23.44,,0.764729499,0.235270501,,
Michigan,1964,66.7,33.1,,0.668336673,0.331663327,,
Minnesota,1964,63.76,36,,0.639133921,0.360866079,,
Mississippi,1964,12.86,87.14,,0.1286,0.8714,,
Missouri,1964,64.05,35.95,,0.6405,0.3595,,
Montana,1964,58.95,40.57,,0.592343248,0.407656752,,
Nebraska,1964,52.61,47.39,,0.5261,0.4739,,
Nevada,1964,58.58,41.42,,0.5858,0.4142,,
New Hampshire,1964,63.89,36.11,,0.6389,0.3611,,
New Jersey,1964,65.61,33.86,,0.659595858,0.340404142,,
New Mexico,1964,59.03,40.42,,0.593564605,0.406435395,,
New York,1964,68.56,31.31,,0.68649244,0.31350756,,
North Carolina,1964,56.15,43.85,,0.5615,0.4385,,
North Dakota,1964,57.97,41.88,,0.580570856,0.419429144,,
Ohio,1964,62.94,37.06,,0.6294,0.3706,,
Oklahoma,1964,55.75,44.25,,0.5575,0.4425,,
Oregon,1964,63.72,35.96,,0.639245586,0.360754414,,
Pennsylvania,1964,64.92,34.7,,0.65167637,0.34832363,,
Rhode Island,1964,80.87,19.13,,0.8087,0.1913,,
South Carolina,1964,41.11,58.89,,0.4111,0.5889,,
South Dakota,1964,55.61,44.39,,0.5561,0.4439,,
Tennessee,1964,55.5,44.49,,0.555055506,0.444944494,,
Texas,1964,63.32,36.49,,0.63440537,0.36559463,,
Utah,1964,54.71,45.29,,0.5471,0.4529,,
Vermont,1964,66.3,33.69,,0.663066307,0.336933693,,
Virginia,1964,53.54,46.18,,0.536903329,0.463096671,,
Washington,1964,61.97,37.37,,0.623817193,0.376182807,,
West Virginia,1964,67.94,32.06,,0.6794,0.3206,,
Wisconsin,1964,62.09,37.74,,0.621957327,0.378042673,,
Wyoming,1964,56.56,43.44,,0.5656,0.4344,,
Alabama,1968,18.72,13.99,,0.572302048,0.427697952,,
Alaska,1968,42.65,45.28,,0.485044922,0.514955078,,
Arizona,1968,35.02,54.78,,0.389977728,0.610022272,,
Arkansas,1968,30.36,30.77,,0.496646491,0.503353509,,
California,1968,44.74,47.82,,0.483362143,0.516637857,,
Colorado,1968,41.32,50.46,,0.450207017,0.549792983,,
Connecticut,1968,49.48,44.32,,0.52750533,0.47249467,,
Delaware,1968,41.61,45.12,,0.479764787,0.520235213,,
Washington DC,1968,81.82,18.18,,0.8182,0.1818,,
Florida,1968,30.93,40.53,,0.432829555,0.567170445,,
Georgia,1968,26.75,30.4,,0.468066492,0.531933508,,
Hawaii,1968,59.83,38.7,,0.607226226,0.392773774,,
Idaho,1968,30.66,56.79,,0.350600343,0.649399657,,
Illinois,1968,44.15,47.08,,0.483941686,0.516058314,,
Indiana,1968,37.99,50.29,,0.430335297,0.569664703,,
Iowa,1968,40.82,53.01,,0.435042097,0.564957903,,
Kansas,1968,34.72,54.84,,0.387673068,0.612326932,,
Kentucky,1968,37.65,43.79,,0.462303536,0.537696464,,
Louisiana,1968,28.21,23.47,,0.545859133,0.454140867,,
Maine,1968,55.3,43.07,,0.562163261,0.437836739,,
Maryland,1968,43.59,41.94,,0.509645738,0.490354262,,
Massachusetts,1968,63.01,32.89,,0.657038582,0.342961418,,
Michigan,1968,48.18,41.46,,0.537483266,0.462516734,,
Minnesota,1968,54,41.46,,0.565681961,0.434318039,,
Mississippi,1968,23.02,13.52,,0.629994527,0.370005473,,
Missouri,1968,43.74,44.87,,0.493623744,0.506376256,,
Montana,1968,41.59,50.6,,0.451133529,0.548866471,,
Nebraska,1968,31.81,59.82,,0.347157045,0.652842955,,
Nevada,1968,39.29,47.46,,0.452910663,0.547089337,,
New Hampshire,1968,43.93,52.1,,0.45746121,0.54253879,,
New Jersey,1968,43.97,46.1,,0.488175863,0.511824137,,
New Mexico,1968,39.74,51.84,,0.433937541,0.566062459,,
New York,1968,49.74,44.29,,0.528980113,0.471019887,,
North Carolina,1968,29.24,39.51,,0.425309091,0.574690909,,
North Dakota,1968,38.23,55.94,,0.40596793,0.59403207,,
Ohio,1968,42.95,45.23,,0.487071898,0.512928102,,
Oklahoma,1968,31.99,47.68,,0.401531317,0.598468683,,
Oregon,1968,43.78,49.83,,0.467685076,0.532314924,,
Pennsylvania,1968,47.59,44.02,,0.519484772,0.480515228,,
Rhode Island,1968,64.03,31.78,,0.668301847,0.331698153,,
South Carolina,1968,29.61,38.09,,0.437370753,0.562629247,,
South Dakota,1968,41.96,53.27,,0.440617452,0.559382548,,
Tennessee,1968,28.13,37.85,,0.426341316,0.573658684,,
Texas,1968,41.14,39.88,,0.507775858,0.492224142,,
Utah,1968,37.07,56.49,,0.396216332,0.603783668,,
Vermont,1968,43.53,52.75,,0.45211882,0.54788118,,
Virginia,1968,32.49,43.36,,0.428345419,0.571654581,,
Washington,1968,47.23,45.12,,0.511423931,0.488576069,,
West Virginia,1968,49.6,40.78,,0.548793981,0.451206019,,
Wisconsin,1968,44.27,47.89,,0.480360243,0.519639757,,
Wyoming,1968,35.51,55.76,,0.38906541,0.61093459,,
Alabama,1972,73.93,26.07,,0.7393,0.2607,,
Alaska,1972,62.67,37.33,,0.6267,0.3733,,
Arizona,1972,66.98,33.02,,0.6698,0.3302,,
Arkansas,1972,69.17,30.83,,0.6917,0.3083,,
California,1972,56.97,43.03,,0.5697,0.4303,,
Colorado,1972,64.41,35.59,,0.6441,0.3559,,
Connecticut,1972,59.34,40.66,,0.5934,0.4066,,
Delaware,1972,60.33,39.67,,0.6033,0.3967,,
Washington DC,1972,21.63,78.37,,0.2163,0.7837,,
Florida,1972,72.12,27.88,,0.7212,0.2788,,
Georgia,1972,75.28,24.72,,0.7528,0.2472,,
Hawaii,1972,62.48,37.52,,0.6248,0.3752,,
Idaho,1972,71.16,28.84,,0.7116,0.2884,,
Illinois,1972,59.3,40.7,,0.593,0.407,,
Indiana,1972,66.48,33.52,,0.6648,0.3352,,
Iowa,1972,58.73,41.27,,0.5873,0.4127,,
Kansas,1972,69.63,30.37,,0.6963,0.3037,,
Kentucky,1972,64.57,35.43,,0.6457,0.3543,,
Louisiana,1972,69.73,30.27,,0.6973,0.3027,,
Maine,1972,61.49,38.51,,0.6149,0.3851,,
Maryland,1972,62.12,37.88,,0.6212,0.3788,,
Massachusetts,1972,45.49,54.51,,0.4549,0.5451,,
Michigan,1972,57.34,42.66,,0.5734,0.4266,,
Minnesota,1972,52.82,47.18,,0.5282,0.4718,,
Mississippi,1972,79.94,20.06,,0.7994,0.2006,,
Missouri,1972,62.34,37.66,,0.6234,0.3766,,
Montana,1972,60.48,39.52,,0.6048,0.3952,,
Nebraska,1972,70.5,29.5,,0.705,0.295,,
Nevada,1972,63.68,36.32,,0.6368,0.3632,,
New Hampshire,1972,64.73,35.27,,0.6473,0.3527,,
New Jersey,1972,62.61,37.39,,0.6261,0.3739,,
New Mexico,1972,62.55,37.45,,0.6255,0.3745,,
New York,1972,58.69,41.31,,0.5869,0.4131,,
North Carolina,1972,70.63,29.37,,0.7063,0.2937,,
North Dakota,1972,63.43,36.57,,0.6343,0.3657,,
Ohio,1972,61.03,38.97,,0.6103,0.3897,,
Oklahoma,1972,75.44,24.56,,0.7544,0.2456,,
Oregon,1972,55.34,44.66,,0.5534,0.4466,,
Pennsylvania,1972,60.17,39.83,,0.6017,0.3983,,
Rhode Island,1972,53.1,46.9,,0.531,0.469,,
South Carolina,1972,71.86,28.14,,0.7186,0.2814,,
South Dakota,1972,54.33,45.67,,0.5433,0.4567,,
Tennessee,1972,69.47,30.53,,0.6947,0.3053,,
Texas,1972,66.57,33.43,,0.6657,0.3343,,
Utah,1972,71.93,28.07,,0.7193,0.2807,,
Vermont,1972,63.21,36.79,,0.6321,0.3679,,
Virginia,1972,69.25,30.75,,0.6925,0.3075,,
Washington,1972,59.56,40.44,,0.5956,0.4044,,
West Virginia,1972,63.61,36.39,,0.6361,0.3639,,
Wisconsin,1972,54.98,45.02,,0.5498,0.4502,,
Wyoming,1972,69.37,30.63,,0.6937,0.3063,,
Alabama,1976,43.33,56.67,,0.4333,0.5667,,
Alaska,1976,61.89,38.11,,0.6189,0.3811,,
Arizona,1976,58.61,41.39,,0.5861,0.4139,,
Arkansas,1976,34.95,65.05,,0.3495,0.6505,,
California,1976,50.92,49.08,,0.5092,0.4908,,
Colorado,1976,55.94,44.06,,0.5594,0.4406,,
Connecticut,1976,52.61,47.39,,0.5261,0.4739,,
Delaware,1976,47.25,52.75,,0.4725,0.5275,,
Washington DC,1976,16.82,83.18,,0.1682,0.8318,,
Florida,1976,47.32,52.68,,0.4732,0.5268,,
Georgia,1976,33.06,66.94,,0.3306,0.6694,,
Hawaii,1976,48.72,51.28,,0.4872,0.5128,,
Idaho,1976,61.73,38.27,,0.6173,0.3827,,
Illinois,1976,51,49,,0.51,0.49,,
Indiana,1976,53.85,46.15,,0.5385,0.4615,,
Iowa,1976,50.52,49.48,,0.5052,0.4948,,
Kansas,1976,53.88,46.12,,0.5388,0.4612,,
Kentucky,1976,46.35,53.65,,0.4635,0.5365,,
Louisiana,1976,47.04,52.96,,0.4704,0.5296,,
Maine,1976,50.43,49.57,,0.5043,0.4957,,
Maryland,1976,46.96,53.04,,0.4696,0.5304,,
Massachusetts,1976,41.89,58.11,,0.4189,0.5811,,
Michigan,1976,52.74,47.26,,0.5274,0.4726,,
Minnesota,1976,43.36,56.64,,0.4336,0.5664,,
Mississippi,1976,49.03,50.97,,0.4903,0.5097,,
Missouri,1976,48.16,51.84,,0.4816,0.5184,,
Montana,1976,53.78,46.22,,0.5378,0.4622,,
Nebraska,1976,60.62,39.38,,0.6062,0.3938,,
Nevada,1976,52.27,47.73,,0.5227,0.4773,,
New Hampshire,1976,55.74,44.26,,0.5574,0.4426,,
New Jersey,1976,51.1,48.9,,0.511,0.489,,
New Mexico,1976,51.24,48.76,,0.5124,0.4876,,
New York,1976,47.78,52.22,,0.4778,0.5222,,
North Carolina,1976,44.47,55.53,,0.4447,0.5553,,
North Dakota,1976,53,47,,0.53,0.47,,
Ohio,1976,49.86,50.14,,0.4986,0.5014,,
Oklahoma,1976,50.62,49.38,,0.5062,0.4938,,
Oregon,1976,50.09,49.91,,0.5009,0.4991,,
Pennsylvania,1976,48.64,51.36,,0.4864,0.5136,,
Rhode Island,1976,44.33,55.67,,0.4433,0.5567,,
South Carolina,1976,43.43,56.57,,0.4343,0.5657,,
South Dakota,1976,50.74,49.26,,0.5074,0.4926,,
Tennessee,1976,43.43,56.57,,0.4343,0.5657,,
Texas,1976,48.4,51.6,,0.484,0.516,,
Utah,1976,64.98,35.02,,0.6498,0.3502,,
Vermont,1976,55.77,44.23,,0.5577,0.4423,,
Virginia,1976,50.69,49.31,,0.5069,0.4931,,
Washington,1976,52.02,47.98,,0.5202,0.4798,,
West Virginia,1976,41.93,58.07,,0.4193,0.5807,,
Wisconsin,1976,49.14,50.86,,0.4914,0.5086,,
Wyoming,1976,59.83,40.17,,0.5983,0.4017,,
Alabama,1980,48.75,47.45, 1.23%,0.506756757,0.493243243,,
Alaska,1980,54.35,26.41, 7.04%,0.672981674,0.327018326,,
Arizona,1980,60.61,0.28, 8.81%,0.995362311,0.004637689,,
Arkansas,1980,48.13,0.48, 2.68%,0.990223268,0.009776732,,
California,1980,52.69,0.36, 8.62%,0.993230799,0.006769201,,
Colorado,1980,0.55,0.31, 11.03%,0.639308103,0.360691897,,
Connecticut,1980,0.48,0.39, 12.22%,0.55560683,0.44439317,,
Delaware,1980,0.47,0.45, 6.91%,0.512706342,0.487293658,,
Washington DC,1980,0.13,0.75, 9.28%,0.15186863,0.84813137,,
Florida,1980,0.56,0.39, 5.14%,0.590512657,0.409487343,,
Georgia,1980,0.41,0.56, 2.26%,0.423430876,0.576569124,,
Hawaii,1980,0.43,0.45, 10.56%,0.489167617,0.510832383,,
Idaho,1980,0.66,0.25, 6.19%,0.725150027,0.274849973,,
Illinois,1980,0.5,0.42, 7.30%,0.543394987,0.456605013,,
Indiana,1980,0.56,0.38, 4.98%,0.598014094,0.401985906,,
Iowa,1980,0.51,0.39, 8.78%,0.570681793,0.429318207,,
Kansas,1980,0.58,0.33, 6.96%,0.634737766,0.365262234,,
Kentucky,1980,0.49,0.48, 2.40%,0.507550683,0.492449317,,
Louisiana,1980,0.51,0.46, 1.70%,0.528107272,0.471892728,,
Maine,1980,0.46,0.42, 10.20%,0.519121329,0.480878671,,
Maryland,1980,0.44,0.47, 7.76%,0.483793254,0.516206746,,
Massachusetts,1980,0.42,0.42, 15.15%,0.500896593,0.499103407,,
Michigan,1980,0.49,0.43, 7.04%,0.535468357,0.464531643,,
Minnesota,1980,0.43,0.47, 8.53%,0.477880081,0.522119919,,
Mississippi,1980,0.49,0.48, 1.35%,0.506819813,0.493180187,,
Missouri,1980,0.51,0.44, 3.71%,0.535650717,0.464349283,,
Montana,1980,0.57,0.32, 8.05%,0.636638655,0.363361345,,
Nebraska,1980,0.66,0.26, 7.02%,0.715627389,0.284372611,,
Nevada,1980,0.63,0.27, 7.12%,0.699317902,0.300682098,,
New Hampshire,1980,0.58,0.28, 12.94%,0.67069346,0.32930654,,
New Jersey,1980,0.52,0.39, 7.88%,0.574063846,0.425936154,,
New Mexico,1980,0.55,0.37, 6.46%,0.599128065,0.400871935,,
New York,1980,0.47,0.44, 7.54%,0.514726972,0.485273028,,
North Carolina,1980,0.49,0.47, 2.85%,0.510986733,0.489013267,,
North Dakota,1980,0.64,0.26, 7.84%,0.709802188,0.290197812,,
Ohio,1980,0.52,0.41, 5.94%,0.557346895,0.442653105,,
Oklahoma,1980,0.61,0.35, 3.33%,0.633706924,0.366293076,,
Oregon,1980,0.48,0.39, 9.51%,0.555517241,0.444482759,,
Pennsylvania,1980,0.5,0.42, 6.42%,0.538611926,0.461388074,,
Rhode Island,1980,0.37,0.48, 14.38%,0.438317427,0.561682573,,
South Carolina,1980,0.5,0.48, 1.59%,0.507837312,0.492162688,,
South Dakota,1980,0.61,0.32, 6.54%,0.656365214,0.343634786,,
Tennessee,1980,0.49,0.48, 2.22%,0.501493152,0.498506848,,
Texas,1980,0.55,0.41, 2.46%,0.571664943,0.428335057,,
Utah,1980,0.73,0.21, 5.01%,0.779622884,0.220377116,,
Vermont,1980,0.44,0.38, 14.90%,0.535999034,0.464000966,,
Virginia,1980,0.53,0.4, 5.11%,0.56813799,0.43186201,,
Washington,1980,0.5,0.37, 10.62%,0.570935847,0.429064153,,
West Virginia,1980,0.45,0.5, 4.30%,0.476290611,0.523709389,,
Wisconsin,1980,0.48,0.43, 7.07%,0.525911287,0.474088713,,
Wyoming,1980,0.63,0.28, 6.83%,0.691314424,0.308685576,,
Alabama,1984,0.3828,0.6054,,0.387370978,0.612629022,,
Alaska,1984,0.2987,0.6665,,0.30946954,0.69053046,,
Arizona,1984,0.3254,0.6642,,0.328819725,0.671180275,,
Arkansas,1984,0.3829,0.6046,,0.387746835,0.612253165,,
California,1984,0.4127,0.5751,,0.417797125,0.582202875,,
Colorado,1984,0.3512,0.6344,,0.356331169,0.643668831,,
Connecticut,1984,0.3883,0.6073,,0.390016071,0.609983929,,
Delaware,1984,0.8538,0.1373,,0.861467057,0.138532943,,
Washington DC,1984,0.3993,0.5978,,0.400461338,0.599538662,,
Florida,1984,0.3466,0.6532,,0.346669334,0.653330666,,
Georgia,1984,0.3978,0.6017,,0.397998999,0.602001001,,
Hawaii,1984,0.4382,0.551,,0.44298423,0.55701577,,
Idaho,1984,0.2639,0.7236,,0.267240506,0.732759494,,
Illinois,1984,0.433,0.5617,,0.435307128,0.564692872,,
Indiana,1984,0.3768,0.6167,,0.379265224,0.620734776,,
Iowa,1984,0.4589,0.5327,,0.462787414,0.537212586,,
Kansas,1984,0.326,0.6627,,0.329725903,0.670274097,,
Kentucky,1984,0.394,0.6001,,0.396338397,0.603661603,,
Louisiana,1984,0.3818,0.6077,,0.38585144,0.61414856,,
Maine,1984,0.3878,0.6083,,0.389318342,0.610681658,,
Maryland,1984,0.4702,0.5251,,0.472420376,0.527579624,,
Massachusetts,1984,0.4843,0.5122,,0.486001004,0.513998996,,
Michigan,1984,0.3186,0.6772,,0.319943764,0.680056236,,
Minnesota,1984,0.4972,0.4954,,0.50090671,0.49909329,,
Mississippi,1984,0.3742,0.6188,,0.376837865,0.623162135,,
Missouri,1984,0.3998,0.6002,,0.3998,0.6002,,
Montana,1984,0.3818,0.6047,,0.387024835,0.612975165,,
Nebraska,1984,0.2881,0.7055,,0.289955717,0.710044283,,
Nevada,1984,0.3197,0.6685,,0.323517507,0.676482493,,
New Hampshire,1984,0.3094,0.6864,,0.310704961,0.689295039,,
New Jersey,1984,0.392,0.6009,,0.394803102,0.605196898,,
New Mexico,1984,0.3923,0.597,,0.39654301,0.60345699,,
New York,1984,0.4583,0.4961,,0.480196982,0.519803018,,
North Carolina,1984,0.3789,0.619,,0.379697364,0.620302636,,
North Dakota,1984,0.338,0.6484,,0.342660178,0.657339822,,
Ohio,1984,0.4014,0.589,,0.405290792,0.594709208,,
Oklahoma,1984,0.3067,0.6861,,0.308924255,0.691075745,,
Oregon,1984,0.4374,0.5591,,0.438936277,0.561063723,,
Pennsylvania,1984,0.4599,0.5334,,0.463002114,0.536997886,,
Rhode Island,1984,0.4802,0.5166,,0.481741573,0.518258427,,
South Carolina,1984,0.3557,0.6355,,0.35885795,0.64114205,,
South Dakota,1984,0.3653,0.63,,0.367025018,0.632974982,,
Tennessee,1984,0.4157,0.5784,,0.418167186,0.581832814,,
Texas,1984,0.3611,0.6361,,0.362113919,0.637886081,,
Utah,1984,0.2468,0.745,,0.248840492,0.751159508,,
Vermont,1984,0.4081,0.5792,,0.413349539,0.586650461,,
Virginia,1984,0.3709,0.6229,,0.373213926,0.626786074,,
Washington,1984,0.4286,0.5582,,0.434333198,0.565666802,,
West Virginia,1984,0.446,0.5511,,0.447297162,0.552702838,,
Wisconsin,1984,0.4502,0.5419,,0.453784901,0.546215099,,
Wyoming,1984,0.2824,0.7051,,0.285974684,0.714025316,,
Alabama,1988,0.3986,0.5917,,0.402504292,0.597495708,,
Alaska,1988,0.3627,0.5959,,0.378364281,0.621635719,,
Arizona,1988,0.3874,0.5995,,0.392542304,0.607457696,,
Arkansas,1988,0.4219,0.5637,,0.428064123,0.571935877,,
California,1988,0.4756,0.5113,,0.481913061,0.518086939,,
Colorado,1988,0.4528,0.5306,,0.46044336,0.53955664,,
Connecticut,1988,0.4687,0.5198,,0.474152757,0.525847243,,
Delaware,1988,0.8265,0.143,,0.852501289,0.147498711,,
Washington DC,1988,0.4348,0.5588,,0.437600644,0.562399356,,
Florida,1988,0.3851,0.6087,,0.387502516,0.612497484,,
Georgia,1988,0.395,0.5875,,0.402035623,0.597964377,,
Hawaii,1988,0.5427,0.4475,,0.548071097,0.451928903,,
Idaho,1988,0.3601,0.6208,,0.367111836,0.632888164,,
Illinois,1988,0.486,0.5069,,0.489475274,0.510524726,,
Indiana,1988,0.3969,0.5984,,0.398774239,0.601225761,,
Iowa,1988,0.5471,0.445,,0.551456506,0.448543494,,
Kansas,1988,0.4256,0.5579,,0.432740214,0.567259786,,
Kentucky,1988,0.4388,0.5552,,0.441448692,0.558551308,,
Louisiana,1988,0.4406,0.5427,,0.448082986,0.551917014,,
Maine,1988,0.4388,0.5534,,0.442249546,0.557750454,,
Maryland,1988,0.482,0.5111,,0.485348907,0.514651093,,
Massachusetts,1988,0.5323,0.4538,,0.539803265,0.460196735,,
Michigan,1988,0.4567,0.5357,,0.460197501,0.539802499,,
Minnesota,1988,0.5291,0.459,,0.535472118,0.464527882,,
Mississippi,1988,0.3907,0.5989,,0.394805982,0.605194018,,
Missouri,1988,0.4784,0.5182,,0.480032109,0.519967891,,
Montana,1988,0.462,0.5207,,0.470133306,0.529866694,,
Nebraska,1988,0.3919,0.6016,,0.394464016,0.605535984,,
Nevada,1988,0.3792,0.5886,,0.391816491,0.608183509,,
New Hampshire,1988,0.3629,0.6241,,0.367679838,0.632320162,,
New Jersey,1988,0.426,0.5624,,0.430999595,0.569000405,,
New Mexico,1988,0.469,0.5186,,0.474888619,0.525111381,,
New York,1988,0.5162,0.4752,,0.520677829,0.479322171,,
North Carolina,1988,0.4171,0.5797,,0.418439005,0.581560995,,
North Dakota,1988,0.4297,0.5603,,0.434040404,0.565959596,,
Ohio,1988,0.4415,0.55,,0.445284922,0.554715078,,
Oklahoma,1988,0.4128,0.5793,,0.416087088,0.583912912,,
Oregon,1988,0.5128,0.4661,,0.523853305,0.476146695,,
Pennsylvania,1988,0.4839,0.507,,0.48834393,0.51165607,,
Rhode Island,1988,0.5564,0.4393,,0.558802852,0.441197148,,
South Carolina,1988,0.3758,0.615,,0.379289463,0.620710537,,
South Dakota,1988,0.4651,0.5285,,0.468095813,0.531904187,,
Tennessee,1988,0.4155,0.5789,,0.417839903,0.582160097,,
Texas,1988,0.4335,0.5595,,0.436555891,0.563444109,,
Utah,1988,0.3205,0.6622,,0.326142261,0.673857739,,
Vermont,1988,0.4758,0.511,,0.482164572,0.517835428,,
Virginia,1988,0.3923,0.5974,,0.396382742,0.603617258,,
Washington,1988,0.5005,0.4846,,0.508070247,0.491929753,,
West Virginia,1988,0.522,0.4746,,0.523780855,0.476219145,,
Wisconsin,1988,0.5141,0.478,,0.51819373,0.48180627,,
Wyoming,1988,0.3801,0.6053,,0.385731683,0.614268317,,
Alabama,1992,0.4088,0.4764,0.1085,0.461816539,0.538183461,,
Alaska,1992,0.3029,0.3946,0.2842,0.434265233,0.565734767,,
Arizona,1992,0.3652,0.3847,0.2379,0.486998266,0.513001734,,
Arkansas,1992,0.5321,0.3548,0.1043,0.599954899,0.400045101,,
California,1992,0.4601,0.3261,0.2062,0.585220046,0.414779954,,
Colorado,1992,0.4013,0.3587,0.2332,0.528026316,0.471973684,,
Connecticut,1992,0.4221,0.3578,0.2158,0.541223234,0.458776766,,
Delaware,1992,0.8464,0.091,0.0425,0.902922978,0.097077022,,
Washington DC,1992,0.4351,0.3531,0.2044,0.552017255,0.447982745,,
Florida,1992,0.39,0.4089,0.1982,0.488171235,0.511828765,,
Georgia,1992,0.4347,0.4288,0.1334,0.503416329,0.496583671,,
Hawaii,1992,0.4809,0.367,0.1422,0.567165939,0.432834061,,
Idaho,1992,0.2842,0.4203,0.2704,0.403406671,0.596593329,,
Illinois,1992,0.4858,0.3434,0.1664,0.585865895,0.414134105,,
Indiana,1992,0.3679,0.4291,0.1977,0.461606023,0.538393977,,
Iowa,1992,0.4328,0.3727,0.1871,0.537306021,0.462693979,,
